course_id,course,city,state,street,zip_code,lng,lat,hole,public_private,golf_season,beg_mnth,end_mnth,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga
1011,Meadow Lake Golf Club,Escondido,California,10333 Meadow Glen Way E,92026,-117.108721,33.214953,18,Semi-Private,year round,1,12,72,6557,130,71.70,72,6287,127,70.70,74,5769,135,75.80
1013,The Fountains Executive at Welk Resort Center,Escondido,California,8860 Lawrence Welk Dr,92026,-117.1430197,33.2321295,18,Resort,year round,1,12,62,4002,99,59.10,62,3581,93,56.80,62,3099,90,57.70
1014,Escondido Country Club,Escondido,California,1800 W Country Club Ln,92026,-117.1239016,33.1572804,18,Private,year round,1,12,70,6140,117,69.30,70,5884,114,68.00,70,5536,125,73.50
1016,"Vineyard at Escondido, The",Escondido,California,925 San Pasqual Rd,92025,-117.0579853,33.0711695,18,Public,year round,1,12,70,6531,125,70.30,70,6160,119,68.30,70,5073,117,70.30
1024,Pala Mesa Resort,Fallbrook,California,2001 Old Hwy 395,92028,-117.16039,33.3562581,18,Resort,year round,1,12,72,6528,131,72.00,72,6194,124,70.10,72,5848,128,74.50
1138,La Jolla Country Club,La Jolla,California,7301 High Ave Extension,92038,-117.2690552,32.8378839,18,Private,year round,1,12,72,6685,129,72.90,72,6260,125,71.00,74,5970,141,76.50
1139,North at Torrey Pines Municipal Golf Course,La Jolla,California,11480 N Torrey Pines Rd,92037,-117.2446315,32.9041197,18,Public,year round,1,12,72,6647,129,72.10,72,6326,119,70.00,74,6118,134,75.40
1143,Lake San Marcos at Lake San Marcos Country Club,Lake San Marcos,California,1750 San Pablo Dr,92069,-117.203166,33.1243094,18,Private,year round,1,12,72,6515,124,71.50,72,6272,116,69.40,73,5942,125,73.60
1311,Oceanside Center City Golf Course,Oceanside,California,Saratoga St,92054,-117.357826,33.199772,18,Public,year round,1,12,66,4797,94,61.20,66,4447,93,60.30,66,4203,99,61.80
1313,Oceanside Golf Course,Oceanside,California,825 Douglas Dr,92054,-117.3211917,33.2531378,18,Public,year round,1,12,72,6450,118,70.80,72,6056,109,68.70,72,5398,121,71.60
1314,El Camino Country Club,Oceanside,California,3202 Vista Way,92056,-117.320145,33.18581,18,Private,year round,1,12,72,6734,130,72.50,72,6362,119,70.00,72,5814,130,75.00
1393,Pauma Valley Country Club,Pauma Valley,California,15835 Pauma Valley Dr,92061,-116.9888954,33.3027831,18,Private,year round,1,12,71,7077,133,74.40,71,6465,125,71.30,72,5891,130,74.70
1426,Stoneridge Country Club,Poway,California,17166 Stoneridge Country Club Ln,92064,-117.038524,33.0241314,18,Private,year round,1,12,72,6501,118,69.90,72,6274,111,68.50,73,5696,133,74.50
1428,San Vicente Inn & Golf Club,Ramona,California,24157 San Vicente Rd,92065,-116.8057606,33.002199,18,Resort,year round,1,12,72,6633,123,71.50,72,6228,116,69.30,72,5543,128,72.80
1453,Rancho Santa Fe Golf Club,Rancho Santa Fe,California,5827 Via de La Cumbre,92067,-117.2089104,33.0246197,18,Private,year round,1,12,72,6911,133,73.90,72,6452,129,71.80,74,5869,136,75.30
1454,South/North at Morgan Run Resort & Club,Rancho Santa Fe,California,5690 Concha De Golf,92091,-117.2091842,32.9908043,18,Resort,year round,1,12,71,6469,123,71.20,71,6125,119,69.60,71,5409,123,71.20
1455,Del Mar Country Club,Rancho Santa Fe,California,6001 Clubhouse Dr,92067,-117.1951858,32.9776931,18,Private,year round,1,12,72,6950,133,74.40,72,6508,123,71.20,72,5381,123,72.00
1456,Rancho Santa Fe Farms Golf Club,Rancho Santa Fe,California,8500 Saint Andrews Rd,92067,-117.177722,32.988311,18,Private,year round,1,12,72,6850,140,73.80,72,6390,131,71.10,72,5511,134,73.40
1457,Fairbanks Ranch Country Club,Rancho Santa Fe,California,15150 San Dieguigo Rd,92067,-117.2117111,32.977163,18,Private,year round,1,12,72,6722,128,72.50,72,6445,125,71.00,72,5724,132,74.40
1458,North/East at Morgan Run Resort & Club,Rancho Santa Fe,California,5690 Concha De Golf,92091,-117.2091842,32.9908043,18,Resort,year round,1,12,71,6036,122,70.00,71,5914,118,68.60,71,5249,122,70.40
1459,East/South at Morgan Run Resort & Club,Rancho Santa Fe,California,5690 Concha De Golf,92091,-117.2091842,32.9908043,18,Resort,year round,1,12,72,6456,125,71.20,72,6201,122,70.00,72,5542,123,71.20
1593,Twin Oaks Golf Course,San Marcos,California,1425 N Twin Oaks Valley Rd,92069,-117.1588506,33.1647898,18,Public,year round,1,12,72,6535,124,71.20,72,6146,116,68.80,72,5423,120,71.60
1632,Carlton Oaks Lodge & Country Club,Santee,California,9200 Inwood Dr,92071,-117.0097332,32.8421584,18,Resort,year round,1,12,72,7090,137,74.60,72,6537,127,71.30,72,4537,114,67.10
1647,Lomas Santa Fe Country Club,Solana Beach,California,1505 Lomas Santa Fe Dr,92075,-117.2402414,32.9951403,18,Private,year round,1,12,72,6607,128,72.30,72,6208,122,70.00,72,5830,138,76.10
1756,Shadowridge Golf Club,Vista,California,1980 Gateway Dr,92083,-117.2304337,33.1686659,18,Private,year round,1,12,72,6854,124,73.10,72,6361,114,69.90,72,5693,135,74.90
1757,Vista Valley Country Club,Vista,California,29354 Vista Valley Dr,92084,-117.1973911,33.2511708,18,Private,year round,1,12,71,6345,130,71.10,71,6035,125,69.60,71,5627,133,74.40
1765,Warner Springs Ranch,Warner Springs,California,31652 Hwy 79,92086,-116.6341007,33.2831525,18,Private,year round,1,12,72,6701,121,71.70,72,6252,116,69.10,72,5470,119,70.90
